project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P024,2023-11-30 22:40:57.478588,3767.8912500000006,1762.7561403508773,14398.4665,0.12242665844663925,0.4678362573099415,-12635.710359649123,-2005.1351096491233,0.7221390220648748
P024,2023-12-31 22:40:57.478588,,0.0,4110.9400000000005,0.0,,-4110.9400000000005,,0.55
P024,2024-01-31 22:40:57.478588,,0.0,68183.89360000001,0.0,,-68183.89360000001,,0.55
P024,2024-02-29 22:40:57.478588,759.0140562248996,489.30614886731394,13323.907379999999,0.036723923013889485,0.6446601941747573,-12834.601231132685,-269.70790735758567,0.6897047549637201
P024,2024-03-31 22:40:57.478588,2310.0,1848.0,959.07,1.926866652069192,0.8,888.93,-462.0,0.08999999999999998
P024,2024-04-30 22:40:57.478588,4471.806465949821,4173.686034886499,14373.948,0.2903646259807326,0.9333333333333332,-10200.261965113501,-298.12043106332203,0.4202994557105971
P024,2024-05-31 22:40:57.478588,8487.331114624505,0.0,67270.0,0.0,0.0,-67270.0,-8487.331114624505,1.0
P024,2024-06-30 22:40:57.478588,,0.0,8583.04,0.0,,-8583.04,,0.55
P024,2024-07-31 22:40:57.478588,,0.0,10551.499,0.0,,-10551.499,,0.55
P024,2024-08-31 22:40:57.478588,,0.0,13460.0,0.0,,-13460.0,,0.55
P024,2024-09-30 22:40:57.478588,,0.0,134.4,0.0,,-134.4,,0.55
P024,2024-10-31 22:40:57.478588,89286.23599936545,72181.86570815918,3156786.226690001,0.02286561728440014,0.8084321721062603,-3084604.3609818416,-17104.370291206273,0.6236294330457628
